,data
0,0.0014150142669677734
1,0.0010199546813964844
2,0.0008490085601806641
3,0.0009980201721191406
4,0.0011060237884521484
5,0.0010221004486083984
6,0.0009829998016357422
7,0.0009629726409912109
8,0.0007781982421875
9,0.0009031295776367188
10,0.0009391307830810547
11,0.0008149147033691406
12,0.0008230209350585938
13,0.0009789466857910156
14,0.0010721683502197266
15,0.0009560585021972656
16,0.0007779598236083984
17,0.0008950233459472656
18,0.0009129047393798828
19,0.0008459091186523438
20,0.0009670257568359375
21,0.000865936279296875
22,0.0009791851043701172
23,0.0010209083557128906
24,0.0009860992431640625
25,0.0009808540344238281
26,0.0008900165557861328
27,0.0008859634399414062
28,0.0010230541229248047
29,0.000885009765625
30,0.0009109973907470703
31,0.0013120174407958984
32,0.001013040542602539
33,0.001157999038696289
34,0.0012509822845458984
35,0.0011849403381347656
36,0.0012729167938232422
37,0.0014429092407226562
38,0.001336812973022461
39,0.0010058879852294922
40,0.0009760856628417969
41,0.001216888427734375
42,0.0008840560913085938
43,0.00084686279296875
44,0.0007920265197753906
45,0.0008611679077148438
46,0.0007328987121582031
47,0.0007882118225097656
48,0.0007388591766357422
49,0.0007688999176025391
50,0.0007760524749755859
51,0.001032114028930664
52,0.0009160041809082031
53,0.0020051002502441406
54,0.0015411376953125
55,0.0015048980712890625
56,0.0010020732879638672
57,0.0008878707885742188
58,0.0010349750518798828
59,0.0009739398956298828
60,0.0009160041809082031
61,0.0008149147033691406
62,0.0009458065032958984
63,0.0010218620300292969
64,0.0011799335479736328
65,0.0009469985961914062
66,0.0009469985961914062
67,0.0009500980377197266
68,0.0011019706726074219
69,0.0008859634399414062
70,0.0008859634399414062
71,0.000888824462890625
72,0.0009229183197021484
73,0.0008950233459472656
74,0.0008440017700195312
75,0.0009150505065917969
76,0.0009989738464355469
77,0.0008399486541748047
78,0.0007848739624023438
79,0.0007610321044921875
80,0.0009560585021972656
81,0.0008351802825927734
82,0.0009140968322753906
83,0.0009250640869140625
84,0.000993967056274414
85,0.0010538101196289062
86,0.0010528564453125
87,0.0009629726409912109
88,0.0009860992431640625
89,0.0009829998016357422
90,0.0009241104125976562
91,0.0009059906005859375
92,0.0008900165557861328
93,0.0008292198181152344
94,0.0008809566497802734
95,0.0007669925689697266
96,0.0007519721984863281
97,0.0008151531219482422
98,0.0008511543273925781
99,0.001300811767578125
100,0.0009720325469970703
101,0.0008609294891357422
102,0.0008461475372314453
103,0.0010349750518798828
104,0.0014748573303222656
105,0.0013709068298339844
106,0.0014801025390625
107,0.0017309188842773438
108,0.0011680126190185547
109,0.0010411739349365234
110,0.0008149147033691406
