,data
0,0.0034711360931396484
1,0.0014867782592773438
2,0.00102996826171875
3,0.0017011165618896484
4,0.001798868179321289
5,0.0011699199676513672
6,0.0013611316680908203
7,0.0012781620025634766
8,0.0011980533599853516
9,0.0014140605926513672
10,0.0012350082397460938
11,0.0016469955444335938
12,0.0011510848999023438
13,0.0017561912536621094
14,0.0011370182037353516
15,0.0013310909271240234
16,0.0012471675872802734
17,0.001241922378540039
18,0.0017399787902832031
19,0.0014700889587402344
20,0.0023071765899658203
21,0.0018689632415771484
22,0.0019450187683105469
23,0.002259969711303711
24,0.0017859935760498047
25,0.0018870830535888672
26,0.0011060237884521484
27,0.0010170936584472656
28,0.0015568733215332031
29,0.0013918876647949219
30,0.0010170936584472656
31,0.0015079975128173828
32,0.0010058879852294922
33,0.0014910697937011719
34,0.0011210441589355469
35,0.001360177993774414
36,0.0012218952178955078
37,0.003220796585083008
38,0.0020291805267333984
39,0.003000974655151367
40,0.0019159317016601562
41,0.002579927444458008
42,0.0018320083618164062
43,0.0012319087982177734
44,0.00146484375
45,0.0016829967498779297
46,0.0010960102081298828
47,0.0017099380493164062
48,0.0010290145874023438
49,0.001631021499633789
50,0.001310110092163086
51,0.0012650489807128906
52,0.0015499591827392578
53,0.0011949539184570312
54,0.001394033432006836
55,0.0011861324310302734
56,0.0014917850494384766
57,0.001188039779663086
58,0.0015180110931396484
59,0.0011119842529296875
60,0.0015988349914550781
61,0.0022079944610595703
62,0.0013790130615234375
63,0.0038428306579589844
64,0.0011250972747802734
65,0.0014281272888183594
66,0.0014820098876953125
67,0.0014190673828125
68,0.0017201900482177734
69,0.0013670921325683594
70,0.001168966293334961
71,0.0019669532775878906
72,0.0012359619140625
73,0.0012478828430175781
74,0.0014088153839111328
75,0.001483917236328125
76,0.0013129711151123047
77,0.0011150836944580078
78,0.0015101432800292969
79,0.000997781753540039
80,0.0019497871398925781
81,0.0010809898376464844
82,0.001435995101928711
83,0.0011341571807861328
84,0.0016410350799560547
85,0.002299070358276367
86,0.0017499923706054688
87,0.0011069774627685547
88,0.0013020038604736328
89,0.0012171268463134766
90,0.0014979839324951172
91,0.0011591911315917969
92,0.0015850067138671875
93,0.000949859619140625
94,0.0013818740844726562
95,0.0018429756164550781
96,0.003226041793823242
97,0.0012600421905517578
98,0.001277923583984375
99,0.0013189315795898438
100,0.002321958541870117
101,0.0013539791107177734
102,0.002340078353881836
103,0.002351999282836914
104,0.0015990734100341797
105,0.001428842544555664
106,0.0015270709991455078
107,0.0012438297271728516
108,0.0014538764953613281
109,0.0014691352844238281
110,0.0013630390167236328
111,0.0012271404266357422
112,0.0012278556823730469
113,0.0013070106506347656
114,0.0013899803161621094
115,0.001611948013305664
116,0.002009153366088867
117,0.001219034194946289
118,0.0012769699096679688
119,0.0016210079193115234
120,0.0011610984802246094
121,0.001432180404663086
122,0.001497030258178711
123,0.001013040542602539
124,0.0012710094451904297
125,0.0022928714752197266
126,0.001728057861328125
127,0.0013070106506347656
128,0.0014100074768066406
129,0.0010309219360351562
130,0.0015430450439453125
131,0.0011360645294189453
132,0.0015859603881835938
133,0.0013680458068847656
134,0.0013530254364013672
135,0.0010569095611572266
136,0.001773834228515625
137,0.0012958049774169922
138,0.0014622211456298828
139,0.002978086471557617
140,0.0022830963134765625
141,0.0018460750579833984
142,0.0011718273162841797
143,0.0019490718841552734
144,0.0011479854583740234
145,0.0016219615936279297
146,0.0014200210571289062
147,0.0020470619201660156
148,0.001127004623413086
149,0.0010869503021240234
150,0.0012638568878173828
151,0.001026153564453125
152,0.0008919239044189453
153,0.001519918441772461
154,0.0011241436004638672
155,0.0015637874603271484
156,0.0012030601501464844
157,0.0011739730834960938
158,0.001753091812133789
159,0.0016109943389892578
160,0.0012848377227783203
161,0.001299142837524414
162,0.0020258426666259766
163,0.00150299072265625
164,0.0015339851379394531
165,0.0011148452758789062
166,0.0022029876708984375
167,0.0014290809631347656
168,0.0019030570983886719
169,0.002290010452270508
170,0.0010709762573242188
171,0.0017199516296386719
172,0.001806020736694336
173,0.0010750293731689453
174,0.0016329288482666016
175,0.001132965087890625
176,0.0015590190887451172
177,0.0010907649993896484
178,0.0016319751739501953
179,0.0016779899597167969
180,0.0013768672943115234
181,0.0014469623565673828
182,0.0015039443969726562
183,0.0012938976287841797
184,0.0011129379272460938
185,0.0014040470123291016
186,0.00115203857421875
187,0.0014510154724121094
188,0.0017991065979003906
189,0.0013670921325683594
190,0.0018200874328613281
191,0.001722097396850586
192,0.001508951187133789
193,0.0012650489807128906
194,0.0011370182037353516
195,0.00152587890625
196,0.0014770030975341797
197,0.00144195556640625
198,0.0017480850219726562
199,0.0011279582977294922
200,0.00146484375
201,0.001219034194946289
202,0.001886129379272461
203,0.001146078109741211
204,0.0015950202941894531
205,0.001219034194946289
206,0.0017991065979003906
207,0.0019049644470214844
208,0.0014340877532958984
209,0.0016188621520996094
210,0.0013849735260009766
211,0.0021369457244873047
212,0.0017719268798828125
213,0.001516103744506836
214,0.0015611648559570312
215,0.001909017562866211
216,0.0012178421020507812
217,0.0012259483337402344
218,0.001249074935913086
219,0.0010190010070800781
220,0.0010271072387695312
221,0.002043008804321289
222,0.0024671554565429688
223,0.001466989517211914
224,0.0012869834899902344
225,0.0011930465698242188
226,0.0014159679412841797
227,0.0020890235900878906
228,0.0014140605926513672
229,0.0013959407806396484
230,0.0013968944549560547
231,0.0025479793548583984
232,0.0014679431915283203
233,0.0015721321105957031
234,0.0013599395751953125
235,0.001519918441772461
236,0.0017921924591064453
237,0.0012600421905517578
238,0.0014901161193847656
239,0.0017001628875732422
240,0.0012400150299072266
241,0.0014209747314453125
242,0.0011861324310302734
243,0.0015249252319335938
244,0.0014369487762451172
245,0.0011820793151855469
246,0.001177072525024414
247,0.001219034194946289
248,0.0011970996856689453
249,0.001302957534790039
250,0.001444101333618164
251,0.0011439323425292969
252,0.0025610923767089844
253,0.0023000240325927734
254,0.001519918441772461
255,0.0016748905181884766
256,0.0020520687103271484
257,0.002187013626098633
258,0.0014541149139404297
259,0.0017390251159667969
260,0.002132892608642578
261,0.001271963119506836
262,0.0017650127410888672
263,0.0015010833740234375
264,0.0017778873443603516
265,0.0018131732940673828
266,0.0025548934936523438
267,0.0024480819702148438
268,0.0022780895233154297
269,0.0017631053924560547
270,0.0012679100036621094
271,0.001828908920288086
272,0.0018811225891113281
273,0.0014700889587402344
274,0.0018100738525390625
275,0.0011959075927734375
276,0.001631021499633789
277,0.0013689994812011719
278,0.0018310546875
279,0.002012014389038086
280,0.002583026885986328
281,0.0028810501098632812
282,0.0010809898376464844
283,0.002010822296142578
284,0.002577066421508789
285,0.0013599395751953125
286,0.005935192108154297
287,0.0016200542449951172
288,0.0022139549255371094
289,0.0017321109771728516
290,0.0011980533599853516
291,0.003316164016723633
292,0.002023935317993164
293,0.002129077911376953
294,0.0018110275268554688
295,0.001260995864868164
296,0.0017600059509277344
297,0.001338958740234375
298,0.0013129711151123047
299,0.0011410713195800781
300,0.0015289783477783203
301,0.0021638870239257812
302,0.0011601448059082031
303,0.0029249191284179688
304,0.0013270378112792969
305,0.0012531280517578125
306,0.0018849372863769531
307,0.002201080322265625
308,0.0013201236724853516
309,0.0019562244415283203
310,0.00177001953125
311,0.0019381046295166016
312,0.001035928726196289
313,0.0017008781433105469
314,0.0011150836944580078
315,0.0014681816101074219
316,0.0011019706726074219
317,0.0018799304962158203
318,0.0010821819305419922
319,0.0019021034240722656
320,0.001973867416381836
321,0.0010290145874023438
322,0.0018129348754882812
323,0.0015559196472167969
324,0.0023598670959472656
325,0.0016701221466064453
326,0.0018780231475830078
327,0.0014979839324951172
